base_seed,decl_id,hand_str,V_mean,V_std,V_min,V_max,V_spread,n_unique_basins,basin_converged,basin_spread,basins,n_doubles,count_points,trump_count,has_trump_double,n_6_high,total_pips
67,7,6-5 5-2 5-1 4-2 4-1 3-3 2-2,23.333333333333332,10.370899457402697,16.0,38.0,22.0,2,False,1,"Win,Big Win,Win",2,5,0,False,1,45
68,8,6-4 5-2 4-2 4-1 3-3 3-0 2-1,9.333333333333334,9.568466729604882,-4.0,18.0,22.0,2,False,1,"Win,Win,Draw",1,15,0,False,1,40
69,9,6-5 6-4 5-5 4-2 3-3 2-1 0-0,40.0,1.632993161855452,38.0,42.0,4.0,1,True,0,"Big Win,Big Win,Big Win",3,20,0,False,2,46
70,0,6-5 5-5 5-2 5-1 4-1 1-1 0-0,-4.666666666666667,15.084944665313014,-26.0,6.0,32.0,2,False,3,"Win,Big Loss,Win",3,15,1,True,1,41
71,1,6-1 5-2 5-0 4-3 4-2 3-3 2-0,9.333333333333334,23.11324776447962,-8.0,42.0,50.0,2,False,3,"Big Win,Loss,Loss",1,5,1,False,1,40
72,2,6-3 6-0 4-4 4-3 4-2 3-2 1-0,16.666666666666668,33.038697848970315,-30.0,42.0,72.0,2,False,4,"Big Win,Big Loss,Big Win",1,5,2,False,2,42
73,3,6-6 6-5 6-0 5-5 5-4 4-3 4-1,1.3333333333333333,23.907228102721476,-30.0,28.0,58.0,3,False,4,"Big Win,Win,Big Loss",2,15,1,False,3,60
74,4,6-5 6-2 6-0 5-3 5-2 4-2 1-0,-29.333333333333332,9.843215373488935,-42.0,-18.0,24.0,2,False,1,"Loss,Big Loss,Big Loss",0,0,1,False,3,47
75,5,6-5 6-2 6-1 5-5 4-2 3-0 0-0,18.0,16.97056274847714,6.0,42.0,36.0,2,False,1,"Win,Big Win,Win",2,10,2,True,3,45
76,6,6-6 6-4 6-3 5-2 5-1 4-0 1-1,16.666666666666668,13.299958228840003,-2.0,28.0,30.0,2,False,2,"Big Win,Big Win,Draw",2,10,3,True,3,50
77,7,6-6 5-5 4-4 4-2 4-1 2-2 1-0,36.0,5.887840577551898,28.0,42.0,14.0,1,True,0,"Big Win,Big Win,Big Win",4,15,0,False,1,46
78,8,6-2 5-5 5-4 5-1 4-4 4-0 3-1,6.666666666666667,14.267289706021797,-8.0,26.0,34.0,3,False,3,"Draw,Loss,Big Win",2,10,0,False,1,49
79,9,6-5 6-2 5-1 4-0 3-3 3-2 2-0,10.666666666666666,5.2493385826745405,6.0,18.0,12.0,1,True,0,"Win,Win,Win",1,5,0,False,2,42
80,0,5-3 5-1 5-0 4-4 2-2 2-1 1-0,39.333333333333336,0.9428090415820634,38.0,40.0,2.0,1,True,0,"Big Win,Big Win,Big Win",2,5,2,False,0,35
81,1,6-3 5-5 3-3 3-2 3-1 3-0 1-0,13.333333333333334,20.677416559027762,-6.0,42.0,48.0,3,False,3,"Loss,Big Win,Draw",2,15,2,False,1,38
82,2,6-2 5-2 4-4 4-2 4-1 3-0 0-0,33.333333333333336,10.873004286866726,18.0,42.0,24.0,2,False,1,"Big Win,Big Win,Win",2,5,3,False,1,37
83,3,6-5 6-2 6-0 5-1 4-1 4-0 3-1,-14.666666666666666,23.79542439676633,-42.0,16.0,58.0,3,False,3,"Big Loss,Win,Loss",0,5,1,False,3,44
84,4,6-5 6-4 6-1 5-5 4-3 2-0 1-1,22.0,2.8284271247461903,18.0,24.0,6.0,2,False,1,"Big Win,Win,Big Win",2,20,2,False,3,49
85,5,6-3 4-3 3-2 2-2 2-1 1-1 0-0,-10.0,23.03620339089466,-40.0,16.0,56.0,3,False,3,"Loss,Win,Big Loss",3,5,0,False,1,30
86,6,6-0 5-3 4-4 4-1 3-2 2-1 1-0,0.6666666666666666,31.93048003954146,-40.0,38.0,78.0,3,False,4,"Big Loss,Draw,Big Win",1,10,1,False,1,36
87,7,5-3 5-0 4-4 4-3 3-3 2-2 1-1,3.3333333333333335,31.084115271666047,-36.0,40.0,76.0,3,False,4,"Win,Big Loss,Big Win",4,5,0,False,0,40
88,8,6-2 5-4 5-3 5-2 5-0 3-2 1-0,2.6666666666666665,0.9428090415820634,2.0,4.0,2.0,1,True,0,"Draw,Draw,Draw",0,10,0,False,1,43
89,9,6-4 6-2 5-3 5-1 4-4 4-2 2-0,27.333333333333332,16.67999467092907,4.0,42.0,38.0,2,False,2,"Big Win,Draw,Big Win",1,10,0,False,2,48
90,0,6-2 5-4 5-2 4-2 4-0 3-1 2-0,-20.666666666666668,12.684198393626966,-38.0,-8.0,30.0,2,False,1,"Loss,Loss,Big Loss",0,0,2,False,1,40
91,1,6-6 6-2 5-1 4-3 4-1 2-1 0-0,20.666666666666668,18.354533197248273,-4.0,40.0,44.0,2,False,2,"Draw,Big Win,Big Win",2,5,3,False,2,41
92,2,6-0 5-5 4-1 3-1 3-0 2-1 1-0,-8.666666666666666,28.5345794120436,-38.0,30.0,68.0,3,False,4,"Big Win,Big Loss,Loss",1,15,1,False,1,32
93,3,6-0 5-5 5-4 5-1 4-3 4-0 3-1,8.0,4.320493798938574,4.0,14.0,10.0,2,False,1,"Win,Draw,Win",1,10,2,False,1,46
94,4,6-6 5-3 5-1 4-2 2-1 1-1 1-0,-0.6666666666666666,30.5650490302604,-28.0,42.0,70.0,3,False,4,"Loss,Big Win,Big Loss",2,0,1,False,1,38
95,5,6-6 6-0 5-4 4-4 4-2 4-0 3-1,-10.0,33.0252428706689,-40.0,36.0,76.0,2,False,4,"Big Loss,Big Loss,Big Win",2,0,1,False,2,49
