game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,13,7,6,1
1,0,11,7,4,1
2,0,7,7,0,1
3,0,11,7,4,1
4,0,13,7,6,1
5,0,7,7,0,1
6,0,12,7,5,1
7,0,11,7,4,1
8,0,7,7,0,1
9,0,9,7,2,1
10,0,13,7,6,1
11,0,11,7,4,1
12,0,12,7,5,1
13,0,11,7,4,1
14,0,7,7,0,1
15,0,11,7,4,1
16,0,11,7,4,1
17,0,13,6,7,0
18,0,12,5,7,0
19,0,13,7,6,1
20,0,9,7,2,1
21,0,8,7,1,1
22,0,8,7,1,1
23,0,8,7,1,1
24,0,10,7,3,1
25,0,10,7,3,1
26,0,9,7,2,1
27,0,11,7,4,1
28,0,9,7,2,1
29,0,10,7,3,1
30,0,12,7,5,1
31,0,11,7,4,1
32,0,11,7,4,1
33,0,7,7,0,1
34,0,8,7,1,1
35,0,8,7,1,1
36,0,10,7,3,1
37,0,13,7,6,1
38,0,11,7,4,1
39,0,8,7,1,1
40,0,9,7,2,1
41,0,13,7,6,1
42,0,10,7,3,1
43,0,11,7,4,1
44,0,12,7,5,1
45,0,11,7,4,1
46,0,11,7,4,1
47,0,9,7,2,1
48,0,11,7,4,1
49,0,11,7,4,1
50,0,9,7,2,1
51,0,9,7,2,1
52,0,10,7,3,1
53,0,8,7,1,1
54,0,12,7,5,1
55,0,9,7,2,1
56,0,7,7,0,1
57,0,12,7,5,1
58,0,10,3,7,0
59,0,8,7,1,1
60,0,9,7,2,1
61,0,10,7,3,1
62,0,7,7,0,1
63,0,11,7,4,1
64,0,9,7,2,1
65,0,10,7,3,1
66,0,11,7,4,1
67,0,13,7,6,1
68,0,11,7,4,1
69,0,9,7,2,1
70,0,10,7,3,1
71,0,12,5,7,0
72,0,9,7,2,1
73,0,11,7,4,1
74,0,9,7,2,1
75,0,9,7,2,1
76,0,7,7,0,1
77,0,8,7,1,1
78,0,11,7,4,1
79,0,9,7,2,1
80,0,11,7,4,1
81,0,13,6,7,0
82,0,8,7,1,1
83,0,9,7,2,1
84,0,9,7,2,1
85,0,7,7,0,1
86,0,11,7,4,1
87,0,7,7,0,1
88,0,8,7,1,1
89,0,11,7,4,1
90,0,8,7,1,1
91,0,7,7,0,1
92,0,13,6,7,0
93,0,12,5,7,0
94,0,13,7,6,1
95,0,11,7,4,1
96,0,12,7,5,1
97,0,10,7,3,1
98,0,13,6,7,0
99,0,12,7,5,1
100,0,12,5,7,0
101,0,11,7,4,1
102,0,10,7,3,1
103,0,10,7,3,1
104,0,12,5,7,0
105,0,11,7,4,1
106,0,12,7,5,1
107,0,11,7,4,1
108,0,13,7,6,1
109,0,12,7,5,1
110,0,11,7,4,1
111,0,9,7,2,1
112,0,10,7,3,1
113,0,8,7,1,1
114,0,11,7,4,1
115,0,11,7,4,1
116,0,12,7,5,1
117,0,12,7,5,1
118,0,11,7,4,1
119,0,13,6,7,0
120,0,13,7,6,1
121,0,11,7,4,1
122,0,11,7,4,1
123,0,12,7,5,1
124,0,13,7,6,1
125,0,11,7,4,1
126,0,13,6,7,0
127,0,9,7,2,1
0,1,11,7,4,1
1,1,10,7,3,1
2,1,13,6,7,0
3,1,7,7,0,1
4,1,9,7,2,1
5,1,8,7,1,1
6,1,13,6,7,0
7,1,12,7,5,1
8,1,13,7,6,1
9,1,12,7,5,1
10,1,12,7,5,1
11,1,9,7,2,1
12,1,9,7,2,1
13,1,12,7,5,1
14,1,9,7,2,1
15,1,8,7,1,1
16,1,9,7,2,1
17,1,10,7,3,1
18,1,11,7,4,1
19,1,10,7,3,1
20,1,12,7,5,1
21,1,11,7,4,1
22,1,11,7,4,1
23,1,11,7,4,1
24,1,8,7,1,1
25,1,13,7,6,1
26,1,13,6,7,0
27,1,9,7,2,1
28,1,9,2,7,0
29,1,12,7,5,1
30,1,8,7,1,1
31,1,7,7,0,1
32,1,8,7,1,1
33,1,13,6,7,0
34,1,11,7,4,1
35,1,11,7,4,1
36,1,11,7,4,1
37,1,8,7,1,1
38,1,9,7,2,1
39,1,10,7,3,1
40,1,13,6,7,0
41,1,9,7,2,1
42,1,13,7,6,1
43,1,8,7,1,1
44,1,8,7,1,1
45,1,7,7,0,1
46,1,9,7,2,1
47,1,12,7,5,1
48,1,12,7,5,1
49,1,10,7,3,1
50,1,10,7,3,1
51,1,12,7,5,1
52,1,12,5,7,0
53,1,9,7,2,1
54,1,9,7,2,1
55,1,12,7,5,1
56,1,10,7,3,1
57,1,9,7,2,1
58,1,8,7,1,1
59,1,11,7,4,1
60,1,10,7,3,1
61,1,9,7,2,1
62,1,11,7,4,1
63,1,10,7,3,1
64,1,11,7,4,1
65,1,12,7,5,1
66,1,12,7,5,1
67,1,9,7,2,1
68,1,8,7,1,1
69,1,8,7,1,1
70,1,10,7,3,1
71,1,10,7,3,1
72,1,10,7,3,1
73,1,11,7,4,1
74,1,9,7,2,1
75,1,11,7,4,1
76,1,12,7,5,1
77,1,11,7,4,1
78,1,13,6,7,0
79,1,13,7,6,1
80,1,11,7,4,1
81,1,12,7,5,1
82,1,11,4,7,0
83,1,8,7,1,1
84,1,11,7,4,1
85,1,10,7,3,1
86,1,13,7,6,1
87,1,13,6,7,0
88,1,12,7,5,1
89,1,13,6,7,0
90,1,9,2,7,0
91,1,12,7,5,1
92,1,8,7,1,1
93,1,8,7,1,1
94,1,12,7,5,1
95,1,12,7,5,1
96,1,8,7,1,1
97,1,7,7,0,1
98,1,10,7,3,1
99,1,10,7,3,1
100,1,12,7,5,1
101,1,12,7,5,1
102,1,9,7,2,1
103,1,9,7,2,1
104,1,8,7,1,1
105,1,13,6,7,0
106,1,8,7,1,1
107,1,11,7,4,1
108,1,10,7,3,1
109,1,13,6,7,0
110,1,12,7,5,1
111,1,10,7,3,1
112,1,11,7,4,1
113,1,12,7,5,1
114,1,10,7,3,1
115,1,11,4,7,0
116,1,8,7,1,1
117,1,10,7,3,1
118,1,9,7,2,1
119,1,9,7,2,1
120,1,10,7,3,1
121,1,13,7,6,1
122,1,10,7,3,1
123,1,7,7,0,1
124,1,10,7,3,1
125,1,12,5,7,0
126,1,8,7,1,1
127,1,12,7,5,1
